document_id,document_type,device_code,qms_reference,status,document_class,data_status,source_url,notes
RMF-FRN-DEMO-001,Risk Management File,FRN,RMF-FRN-DEMO-001,DRAFT,internal_qms_document,synthetic_template,,"Trigger: possible delivery-interruption/no-flow signal. Affects delivery accuracy and interruption controls. Review whether the signal affects an existing hazard control or residual-risk evidence. Owner: Risk Management Owner. Due: 2026-09-24."
PMS-FRN-DEMO-001,PMS/PSUR,FRN,PMS-FRN-DEMO-001,DRAFT,internal_qms_document,synthetic_template,,"Trigger: possible delivery-interruption/no-flow signal. Assess whether the evidence and denominator method should be included in the next authorised PMS review. Owner: PMS Manager. Due: 2026-09-24."
PSUR-FRN-DEMO-001,PMS/PSUR,FRN,PSUR-FRN-DEMO-001,DRAFT,internal_qms_document,synthetic_template,,"Trigger: possible delivery-interruption/no-flow signal. Prepare a draft traceability note for qualified review in the next applicable reporting cycle. Owner: QA/RA Lead. Due: 2026-09-29."
SOP-QA-DEMO-001,SOP,FRN,SOP-QA-DEMO-001,DRAFT,internal_qms_document,synthetic_template,,"Trigger: exposure or scope mismatch. Review whether the complaint-trending procedure defines product/period/geography and exposure-definition alignment. Owner: Quality Systems Owner. Due: 2026-09-29."
CAPA-FRN-DEMO-001,CAPA,FRN,CAPA-FRN-DEMO-001,DRAFT,internal_qms_document,synthetic_template,,"Trigger: reviewer confirms or investigates. Placeholder link only -- replace with an authorised existing CAPA reference if relevant. Denominator does not open or close CAPA records. Owner: CAPA Owner. Due: 2026-09-29."
IVENIX-DOC-001,External Reference,FRN,Z-1313-2023 / Event 91783,DRAFT,public_external_regulatory_reference,real_public_official,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=198841,"FDA recall database record: Class 1 Device Recall -- Ivenix Infusion System, updated 2026-09-09. Covers product identity, 1,546-unit recall scope, distribution states, recall reason, manufacturer action. Not an internal CAPA/PMS/PSUR/SOP/risk-management record. Proposed review owner: QA/RA Lead."
IVENIX-DOC-002,External Reference,FRN,FDA safety communication (current 2023-04-19),DRAFT,public_external_regulatory_reference,real_public_official,https://www.fda.gov/medical-devices/medical-device-recalls-and-early-alerts/fresenius-kabi-usa-llc-recalls-ivenix-infusion-system-fluid-leak-may-delay-or-interrupt-treatment,"Fresenius Kabi USA LLC recalls Ivenix Infusion System for fluid leak. Covers model, distribution dates, 1,546 US devices, 14 complaints, no reported injuries/deaths, user actions. Public recall communication is not an internal complaint investigation or CAPA record. Proposed review owner: PMS Manager."
IVENIX-DOC-003,External Reference,FRN,FRN,DRAFT,public_external_regulatory_reference,real_public_official,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpcd/classification.cfm?ID=FRN,"FDA product classification: Pump, Infusion. 21 CFR 880.5725; Class II; General Hospital. Classification does not provide exposure units or QMS records. Proposed review owner: Regulatory Affairs."
IVENIX-DOC-004,External Reference,FRN,K183311,DRAFT,public_external_regulatory_reference,real_public_official,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K183311,"FDA 510(k) decision record for Ivenix Infusion System IIS, decision 2019-06-07. Covers product lineage, applicant, FRN, substantial equivalence decision. Premarket record is not a post-market QMS action record. Proposed review owner: Regulatory Affairs."
IVENIX-DOC-005,External Reference,FRN,K183311 PDF,DRAFT,public_external_regulatory_reference,real_public_official,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183311.pdf,"FDA 510(k) public summary (2019). Public device description and product-line context. Public summary is not a current IFU controlled risk file or design-history record. Proposed review owner: Risk Management Owner."
IVENIX-DOC-006,External Reference,FRN,Device Event API,DRAFT,public_external_regulatory_reference,real_public_official,https://open.fda.gov/apis/device/event/,"openFDA Device Adverse Event API documentation. Covers MDR source provenance and limitations. MDR reports cannot establish incidence, prevalence, causality, or a complaint rate. Proposed review owner: Data Steward."
